ID,date,pressure,flow_rate,suction_pressure,discharge_pressure,rpm,vibration_rms,vibration_peak,structural_vibration,motor_current,power_draw_kw,bearing_temperature,motor_temperature,pump_casing_temperature,oil_temperature,fluid_temperature,ambient_temperature,oil_pressure,oil_level,seal_pressure,leakage_rate,runtime_hours_since_last_maintenance,days_since_last_maintenance,start_stop_count,acoustic_signal_level,time_until_next_maintenance
P1,2025-01-01,0.00012092837134853941,1.0269508196721313,1.3497368421052631,1.174240506329114,1.0284122562674094,0.42833333333333334,0.3368627450980392,0.455,0.1392250613817,45100.60522361003,0.6586925627664615,0.8732890916632103,0.803244374672946,0.7591812161348586,0.898,31.78,1.4138888888888888,1.1602564102564104,0.7549019607843138,0.05666666666666667,0.012775,0.0125,0.004,0.46645161290322584,51
P1,2025-01-02,0.00011886754701880751,1.021672131147541,1.365263157894737,1.1589240506329115,1.0362116991643453,0.42624999999999996,0.3688235294117647,0.4528571428571429,0.1361390087228276,45116.67278723535,0.6696087786259541,0.902337228714524,0.8367616033755275,0.7493924665856623,0.9098333333333334,32.08,1.4361111111111111,1.1614102564102564,0.7666666666666667,0.04777777777777778,0.027966666666666667,0.025,0.004,0.4570967741935484,50
P1,2025-01-03,0.00012053821528611445,1.0330163934426229,1.3678947368421053,1.1733544303797467,1.0284122562674094,0.44458333333333333,0.36352941176470593,0.4871428571428572,0.13860785084992552,45844.11920467228,0.6993119266055046,0.8893145161290323,0.856060606060606,0.7872832369942196,0.8651666666666666,30.4,1.4388888888888889,1.1512820512820512,0.7725490196078432,0.043888888888888894,0.04608333333333333,0.0375,0.004,0.46177419354838706,49
P1,2025-01-04,0.00011996798719487795,1.0303934426229509,1.3568421052631578,1.1715189873417722,1.0295264623955431,0.4708333333333333,0.37215686274509807,0.52,0.13772612151881913,46143.676913215146,0.6693069306930693,0.8689655172413794,0.8414835164835166,0.7388535031847133,0.9061666666666667,33.6,1.4194444444444445,1.14974358974359,0.7725490196078432,0.04833333333333333,0.06161666666666667,0.05,0.004,0.4774193548387097,48
P1,2025-01-05,0.00012142857142857143,1.0315409836065574,1.361315789473684,1.1670886075949367,1.0284122562674094,0.4829166666666667,0.43117647058823527,0.47357142857142864,0.1403713095121383,45573.93696092574,0.721815173717797,0.889463879114055,0.8350300182719915,0.752326628640048,0.8923333333333333,31.69,1.4083333333333334,1.1457692307692309,0.7784313725490197,0.049999999999999996,0.07365,0.0625,0.004,0.477741935483871,47
P1,2025-01-06,0.00011869747899159665,1.0292459016393443,1.3863157894736842,1.179113924050633,1.0272980501392757,0.5220833333333333,0.393921568627451,0.5821428571428572,0.1405476553783596,46518.81003839024,0.693767572633552,0.9009860312243222,0.8508273009307137,0.7404988123515439,0.8903333333333333,31.32,1.4305555555555556,1.1356410256410256,0.788235294117647,0.06722222222222222,0.088275,0.075,0.004,0.4759677419354839,46
P1,2025-01-07,0.00011983793517406964,1.0250819672131146,1.3926315789473684,1.1659493670886076,1.0311977715877438,0.5025000000000001,0.39607843137254906,0.5592857142857144,0.1373734297863766,46614.96859741267,0.686316287878788,0.8913764510779437,0.8640167364016735,0.7803850782190134,0.8965,31.76,1.3944444444444444,1.1444871794871794,0.8019607843137255,0.06333333333333334,0.10490833333333334,0.0875,0.004,0.4745161290322581,45
P1,2025-01-08,0.00011922769107643058,1.0271803278688525,1.3844736842105263,1.165126582278481,1.0289693593314764,0.5458333333333334,0.4723529411764706,0.5707142857142857,0.13975409898036384,47480.72126070442,0.7070585401108167,0.9059145443064618,0.8829645427885897,0.7686865579821592,0.8989999999999999,32.49,1.4194444444444445,1.1376923076923076,0.7921568627450981,0.06555555555555556,0.12039166666666666,0.1,0.004,0.4779032258064516,44
P1,2025-01-09,0.00011981792717086834,1.0284262295081967,1.3905263157894738,1.1708860759493671,1.0362116991643453,0.5237499999999999,0.45529411764705885,0.5514285714285715,0.1394895801810319,46576.37745213363,0.7039806996381182,0.8998946259220232,0.840320427236315,0.8024653312788907,0.9043333333333333,32.55,1.4222222222222223,1.1415384615384616,0.7686274509803922,0.042222222222222223,0.13980833333333334,0.1125,0.004,0.4880645161290323,43
P1,2025-01-10,0.00011910764305722289,1.0344590163934426,1.4028947368421054,1.158987341772152,1.0345403899721448,0.5125000000000001,0.4174509803921569,0.5242857142857144,0.13860785084992552,46794.25531136063,0.7119487908961594,0.8843918638439188,0.8507071765322157,0.7655213984327908,0.9105000000000001,31.82,1.4,1.1321794871794872,0.7862745098039216,0.05833333333333334,0.15841666666666665,0.125,0.004,0.4761290322580645,42
P1,2025-01-11,0.00011962785114045618,1.0125245901639344,1.4131578947368422,1.1793670886075949,1.0250696378830084,0.54125,0.43176470588235294,0.645,0.1405476553783596,46711.95092172373,0.7189030362389814,0.9192997438087105,0.8517915309446256,0.7679020100502513,0.9116666666666667,33.16,1.4027777777777777,1.12025641025641,0.7823529411764707,0.06277777777777778,0.17681666666666668,0.1375,0.004,0.49,41
P1,2025-01-12,0.00011861744697879151,1.0171475409836066,1.4039473684210526,1.1781012658227847,1.0295264623955431,0.5870833333333334,0.5062745098039215,0.6335714285714287,0.13984227191347448,48448.58101079702,0.7406508013598835,0.8935989826197542,0.8827326519634212,0.7678682411435674,0.9291666666666667,32.82,1.3944444444444444,1.1174358974358973,0.788235294117647,0.06833333333333334,0.19149166666666667,0.15,0.006,0.5025806451612903,40
P1,2025-01-13,0.0001210984393757503,1.0149180327868852,1.398421052631579,1.1731012658227848,1.0256267409470752,0.61375,0.4864705882352941,0.6071428571428572,0.13984227191347448,46318.37178053994,0.7214885954381752,0.8910807974816369,0.8746347941567065,0.8012251148545175,0.9078333333333333,32.35,1.3972222222222224,1.1242307692307691,0.7941176470588236,0.05611111111111111,0.21083333333333334,0.1625,0.008,0.48306451612903223,39
P1,2025-01-14,0.00011982793117246898,1.009672131147541,1.4160526315789475,1.1731645569620255,1.0345403899721448,0.6004166666666667,0.5086274509803922,0.5792857142857144,0.14231111404057237,46177.8399854969,0.7452948557089084,0.9112322791712106,0.8317991631799163,0.8210696920583468,0.9081666666666667,34.15,1.3888888888888888,1.1211538461538462,0.7823529411764707,0.07444444444444445,0.22968333333333335,0.175,0.008,0.4896774193548387,38
P1,2025-01-15,0.0001196578631452581,1.0172459016393443,1.4063157894736842,1.180759493670886,1.03008356545961,0.6454166666666666,0.49901960784313726,0.6464285714285715,0.1409885200439128,48359.60820589275,0.7645025919526042,0.919372178026231,0.8841413311421528,0.7762615042843543,0.9193333333333332,33.49,1.3833333333333335,1.1091025641025642,0.7980392156862747,0.07166666666666667,0.24564999999999998,0.1875,0.008,0.5,37
P1,2025-01-16,0.0001197579031612645,1.0186557377049181,1.403421052631579,1.1703164556962025,1.033426183844011,0.6791666666666667,0.5309803921568628,0.7385714285714287,0.14178207644190852,47140.463547169275,0.7395451210564931,0.9240776284922158,0.8571428571428572,0.7739103167137034,0.9228333333333333,33.11,1.386111111111111,1.1247435897435898,0.788235294117647,0.07,0.2624666666666666,0.2,0.008,0.5,36
P1,2025-01-17,0.00012063825530212085,1.019311475409836,1.39,1.1798101265822785,1.0245125348189414,0.6308333333333334,0.5205882352941177,0.6971428571428572,0.14248745990679368,48129.12988028879,0.7225207620908647,0.9086067319982956,0.8846778559826745,0.7764558547276142,0.9155,33.06,1.386111111111111,1.123076923076923,0.788235294117647,0.075,0.279625,0.2125,0.008,0.4964516129032258,35
P1,2025-01-18,0.00012016806722689077,1.0109836065573772,1.4113157894736843,1.1736708860759493,1.0323119777158773,0.6120833333333334,0.5613725490196079,0.7757142857142858,0.14363370803723197,48311.777457067525,0.7056157139259633,0.9387442572741195,0.8840660879305516,0.7818300227938781,0.919,34.29,1.363888888888889,1.116025641025641,0.7941176470588236,0.07611111111111112,0.2939083333333333,0.225,0.008,0.49483870967741933,34
P1,2025-01-19,0.0001206782713085234,1.0139016393442624,1.4118421052631578,1.179113924050633,1.0250696378830084,0.6829166666666667,0.5696078431372549,0.7685714285714287,0.14319284337167879,47598.77654215696,0.7421931735657227,0.9236947791164659,0.884213347627982,0.822346022903126,0.9175,32.69,1.3777777777777778,1.1174358974358973,0.7941176470588236,0.08666666666666667,0.31138333333333335,0.2375,0.008,0.4956451612903226,33
